TIME,IN,OUT
2021-04-01 8:00,15,125
2021-04-01 9:00,20,64
2021-04-01 10:00,19,36
2021-04-01 11:00,42,41
2021-04-01 12:00,67,54
2021-04-01 13:00,49,39
2021-04-01 14:00,41,25
2021-04-01 15:00,43,24
2021-04-01 16:00,54,28
2021-04-01 17:00,117,22
2021-04-01 18:00,153,29
2021-04-01 19:00,61,15
2021-04-01 20:00,38,24
2021-04-01 21:00,80,22
2021-04-01 22:00,50,15
2021-04-01 23:00,6,2
2021-04-02 0:00,1,1
2021-04-02 1:00,0,0
2021-04-02 2:00,0,0
2021-04-02 3:00,0,0
2021-04-02 4:00,1,1
2021-04-02 5:00,1,3
2021-04-02 6:00,3,5
2021-04-02 7:00,10,59
2021-04-02 8:00,25,135
2021-04-02 9:00,27,101
2021-04-02 10:00,30,44
2021-04-02 11:00,50,31
2021-04-02 12:00,70,41
2021-04-02 13:00,34,45
2021-04-02 14:00,39,24
2021-04-02 15:00,56,26
2021-04-02 16:00,57,37
2021-04-02 17:00,115,23
2021-04-02 18:00,144,42
2021-04-02 19:00,68,28
2021-04-02 20:00,46,19
2021-04-02 21:00,59,32
2021-04-02 22:00,58,17
2021-04-02 23:00,5,5
2021-04-03 0:00,0,0
2021-04-03 1:00,0,0
2021-04-03 2:00,0,0
2021-04-03 3:00,0,0
2021-04-03 4:00,1,1
2021-04-03 5:00,3,0
2021-04-03 6:00,4,3
2021-04-03 7:00,6,11
2021-04-03 8:00,10,14
2021-04-03 9:00,13,22
2021-04-03 10:00,27,42
2021-04-03 11:00,31,42
2021-04-03 12:00,31,24
2021-04-03 13:00,52,41
2021-04-03 14:00,25,19
2021-04-03 15:00,50,33
2021-04-03 16:00,46,32
2021-04-03 17:00,46,25
2021-04-03 18:00,38,9
2021-04-03 19:00,29,19
2021-04-03 20:00,57,15
2021-04-03 21:00,46,31
2021-04-03 22:00,20,10
2021-04-03 23:00,3,3
2021-04-04 0:00,1,1
2021-04-04 1:00,0,0
2021-04-04 2:00,0,0
2021-04-04 3:00,0,0
2021-04-04 4:00,1,2
2021-04-04 5:00,1,0
2021-04-04 6:00,0,3
2021-04-04 7:00,3,5
2021-04-04 8:00,12,16
2021-04-04 9:00,6,14
2021-04-04 10:00,11,20
2021-04-04 11:00,10,16
2021-04-04 12:00,17,23
2021-04-04 13:00,26,15
2021-04-04 14:00,26,21
2021-04-04 15:00,35,13
2021-04-04 16:00,29,21
2021-04-04 17:00,27,32
2021-04-04 18:00,40,17
2021-04-04 19:00,36,18
2021-04-04 20:00,31,17
2021-04-04 21:00,9,13
2021-04-04 22:00,7,1
2021-04-04 23:00,2,1
2021-04-05 0:00,2,3
2021-04-05 1:00,0,0
2021-04-05 2:00,0,0
2021-04-05 3:00,0,0
2021-04-05 4:00,3,2
2021-04-05 5:00,5,6
2021-04-05 6:00,4,8
2021-04-05 7:00,9,67
2021-04-05 8:00,25,167
2021-04-05 9:00,11,65
2021-04-05 10:00,22,48
2021-04-05 11:00,32,35
2021-04-05 12:00,50,50
2021-04-05 13:00,50,58
2021-04-05 14:00,48,53
2021-04-05 15:00,54,44
2021-04-05 16:00,53,28
2021-04-05 17:00,117,25
2021-04-05 18:00,210,30
2021-04-05 19:00,84,18
2021-04-05 20:00,45,10
2021-04-05 21:00,59,10
2021-04-05 22:00,30,10
2021-04-05 23:00,3,3
2021-04-06 0:00,2,2
2021-04-06 1:00,0,0
2021-04-06 2:00,0,0
2021-04-06 3:00,0,0
2021-04-06 4:00,1,1
2021-04-06 5:00,0,6
2021-04-06 6:00,4,9
2021-04-06 7:00,15,70
2021-04-06 8:00,14,149
2021-04-06 9:00,6,59
2021-04-06 10:00,28,55
2021-04-06 11:00,40,33
2021-04-06 12:00,59,51
2021-04-06 13:00,42,48
2021-04-06 14:00,33,28
2021-04-06 15:00,61,32
2021-04-06 16:00,54,29
2021-04-06 17:00,96,31
2021-04-06 18:00,175,26
2021-04-06 19:00,61,16
2021-04-06 20:00,81,16
2021-04-06 21:00,57,29
2021-04-06 22:00,43,15
2021-04-06 23:00,9,8
2021-04-07 0:00,0,0
2021-04-07 1:00,0,0
2021-04-07 2:00,0,0
2021-04-07 3:00,0,0
2021-04-07 4:00,1,1
2021-04-07 5:00,2,7
2021-04-07 6:00,3,6
2021-04-07 7:00,7,76
2021-04-07 8:00,12,153
2021-04-07 9:00,18,67
2021-04-07 10:00,20,38
2021-04-07 11:00,52,25
2021-04-07 12:00,65,68
2021-04-07 13:00,34,36
2021-04-07 14:00,41,38
2021-04-07 15:00,57,19
2021-04-07 16:00,59,39
2021-04-07 17:00,108,19
2021-04-07 18:00,190,40
2021-04-07 19:00,70,16
2021-04-07 20:00,45,16
2021-04-07 21:00,76,16
2021-04-07 22:00,53,20
2021-04-07 23:00,5,0
2021-04-08 0:00,1,1
2021-04-08 1:00,0,0
2021-04-08 2:00,0,0
2021-04-08 3:00,0,0
2021-04-08 4:00,1,1
2021-04-08 5:00,2,6
2021-04-08 6:00,2,8
2021-04-08 7:00,13,61
2021-04-08 8:00,14,143
2021-04-08 9:00,7,71
2021-04-08 10:00,15,38
2021-04-08 11:00,41,33
2021-04-08 12:00,52,55
2021-04-08 13:00,75,64
2021-04-08 14:00,53,27
2021-04-08 15:00,56,19
2021-04-08 16:00,67,31
2021-04-08 17:00,105,44
2021-04-08 18:00,173,28
2021-04-08 19:00,85,45
2021-04-08 20:00,54,17
2021-04-08 21:00,82,23
2021-04-08 22:00,44,19
2021-04-08 23:00,5,5
2021-04-09 0:00,0,0
2021-04-09 1:00,0,0
2021-04-09 2:00,0,0
2021-04-09 3:00,0,0
2021-04-09 4:00,1,1
2021-04-09 5:00,1,7
2021-04-09 6:00,1,9
2021-04-09 7:00,5,73
2021-04-09 8:00,28,160
2021-04-09 9:00,23,83
2021-04-09 10:00,24,32
2021-04-09 11:00,53,40
2021-04-09 12:00,57,52
2021-04-09 13:00,43,37
2021-04-09 14:00,56,28
2021-04-09 15:00,65,28
2021-04-09 16:00,71,37
2021-04-09 17:00,119,30
2021-04-09 18:00,159,34
2021-04-09 19:00,63,35
2021-04-09 20:00,53,23
2021-04-09 21:00,46,19
2021-04-09 22:00,39,13
2021-04-09 23:00,7,15
2021-04-10 0:00,1,1
2021-04-10 1:00,0,0
2021-04-10 2:00,0,0
2021-04-10 3:00,0,0
2021-04-10 4:00,1,1
2021-04-10 5:00,1,4
2021-04-10 6:00,5,4
2021-04-10 7:00,12,6
2021-04-10 8:00,7,14
2021-04-10 9:00,6,20
2021-04-10 10:00,9,19
2021-04-10 11:00,31,30
2021-04-10 12:00,54,46
2021-04-10 13:00,36,33
2021-04-10 14:00,37,40
2021-04-10 15:00,50,39
2021-04-10 16:00,52,31
2021-04-10 17:00,50,27
2021-04-10 18:00,34,20
2021-04-10 19:00,40,27
2021-04-10 20:00,40,10
2021-04-10 21:00,34,11
2021-04-10 22:00,24,7
2021-04-10 23:00,7,3
2021-04-11 0:00,0,0
2021-04-11 1:00,0,0
2021-04-11 2:00,0,0
2021-04-11 3:00,0,0
2021-04-11 4:00,1,1
2021-04-11 5:00,4,1
2021-04-11 6:00,2,1
2021-04-11 7:00,5,8
2021-04-11 8:00,4,11
2021-04-11 9:00,7,12
2021-04-11 10:00,6,12
2021-04-11 11:00,12,13
2021-04-11 12:00,10,18
2021-04-11 13:00,33,24
2021-04-11 14:00,32,19
2021-04-11 15:00,25,13
2021-04-11 16:00,25,9
2021-04-11 17:00,26,17
2021-04-11 18:00,38,28
2021-04-11 19:00,43,16
2021-04-11 20:00,34,5
2021-04-11 21:00,13,5
2021-04-11 22:00,5,5
2021-04-11 23:00,0,1
2021-04-12 0:00,1,1
2021-04-12 1:00,0,0
2021-04-12 2:00,0,0
2021-04-12 3:00,0,0
2021-04-12 4:00,0,1
2021-04-12 5:00,1,7
2021-04-12 6:00,7,7
2021-04-12 7:00,9,66
2021-04-12 8:00,16,146
2021-04-12 9:00,7,69
2021-04-12 10:00,22,53
2021-04-12 11:00,32,41
2021-04-12 12:00,67,49
2021-04-12 13:00,49,43
2021-04-12 14:00,56,27
2021-04-12 15:00,54,24
2021-04-12 16:00,54,30
2021-04-12 17:00,115,30
2021-04-12 18:00,228,27
2021-04-12 19:00,73,14
2021-04-12 20:00,55,19
2021-04-12 21:00,61,9
2021-04-12 22:00,38,16
2021-04-12 23:00,3,2
2021-04-13 0:00,0,0
2021-04-13 1:00,0,0
2021-04-13 2:00,0,0
2021-04-13 3:00,0,0
2021-04-13 4:00,1,1
2021-04-13 5:00,1,4
2021-04-13 6:00,5,9
2021-04-13 7:00,9,72
2021-04-13 8:00,12,130
2021-04-13 9:00,20,69
2021-04-13 10:00,62,82
2021-04-13 11:00,56,38
2021-04-13 12:00,57,44
2021-04-13 13:00,47,48
2021-04-13 14:00,34,29
2021-04-13 15:00,66,27
2021-04-13 16:00,58,31
2021-04-13 17:00,93,22
2021-04-13 18:00,197,40
2021-04-13 19:00,53,34
2021-04-13 20:00,48,11
2021-04-13 21:00,48,14
2021-04-13 22:00,46,12
2021-04-13 23:00,5,5
2021-04-14 0:00,1,2
2021-04-14 1:00,0,0
2021-04-14 2:00,0,0
2021-04-14 3:00,0,0
2021-04-14 4:00,0,1
2021-04-14 5:00,2,6
2021-04-14 6:00,6,12
2021-04-14 7:00,12,72
2021-04-14 8:00,18,145
2021-04-14 9:00,11,82
2021-04-14 10:00,31,52
2021-04-14 11:00,39,32
2021-04-14 12:00,57,54
2021-04-14 13:00,59,37
2021-04-14 14:00,41,32
2021-04-14 15:00,57,38
2021-04-14 16:00,55,26
2021-04-14 17:00,112,42
2021-04-14 18:00,207,43
2021-04-14 19:00,67,24
2021-04-14 20:00,45,10
2021-04-14 21:00,75,18
2021-04-14 22:00,33,18
2021-04-14 23:00,7,7
2021-04-15 0:00,1,1
2021-04-15 1:00,18,23
2021-04-15 2:00,0,0
2021-04-15 3:00,0,0
2021-04-15 4:00,1,1
2021-04-15 5:00,1,5
2021-04-15 6:00,4,13
2021-04-15 7:00,34,82
2021-04-15 8:00,16,162
2021-04-15 9:00,10,85
2021-04-15 10:00,54,71
2021-04-15 11:00,50,31
2021-04-15 12:00,49,60
2021-04-15 13:00,53,41
2021-04-15 14:00,46,24
2021-04-15 15:00,61,32
2021-04-15 16:00,61,30
2021-04-15 17:00,82,26
2021-04-15 18:00,190,36
2021-04-15 19:00,74,28
2021-04-15 20:00,56,23
2021-04-15 21:00,74,29
2021-04-15 22:00,49,15
2021-04-15 23:00,6,4
2021-04-16 0:00,1,1
2021-04-16 1:00,0,0
2021-04-16 2:00,0,0
2021-04-16 3:00,0,0
2021-04-16 4:00,1,0
2021-04-16 5:00,1,5
2021-04-16 6:00,2,10
2021-04-16 7:00,4,61
2021-04-16 8:00,35,159
2021-04-16 9:00,36,88
2021-04-16 10:00,24,43
2021-04-16 11:00,58,42
2021-04-16 12:00,68,68
2021-04-16 13:00,44,40
2021-04-16 14:00,66,38
2021-04-16 15:00,71,37
2021-04-16 16:00,87,37
2021-04-16 17:00,109,29
2021-04-16 18:00,149,33
2021-04-16 19:00,59,35
2021-04-16 20:00,72,14
